"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.225447476E1,6.502684604E1,2.548420412E1,9.323481528E0,1.250320710E0,3.573562892E2,1.999999940E0,3.000000000E0
4.325449693E1,6.502685784E1,2.548420578E1,9.197207089E0,1.312190501E0,3.596645689E2,1.999999938E0,3.000000000E0
4.425451744E1,6.502687121E1,2.548421125E1,9.294366531E0,1.338258855E0,1.747723791E0,1.999999937E0,3.000000000E0
4.525453544E1,6.502688287E1,2.548421086E1,9.416960003E0,1.319055600E0,4.014940622E-1,1.999999940E0,3.000000000E0
4.625455058E1,6.502689425E1,2.548420911E1,9.593787447E0,1.285517463E0,3.576501735E2,2.004816123E0,3.000000000E0
4.725456572E1,6.502690750E1,2.548421167E1,9.861557804E0,1.265601839E0,1.792225748E0,2.004445652E0,3.000000000E0
4.825457835E1,6.502691853E1,2.548421172E1,1.012820215E1,1.273523404E0,1.772370291E0,2.036596041E0,3.000000000E0
4.925458968E1,6.502693107E1,2.548421282E1,1.003992831E1,1.565419761E0,4.736540734E0,2.034156285E0,3.000000000E0
5.025459933E1,6.502693932E1,2.548422088E1,1.023071111E1,1.224512797E0,1.136413339E1,2.032021533E0,3.000000000E0
5.125460649E1,6.502695245E1,2.548422464E1,1.001301342E1,1.278037303E0,1.399813175E1,2.087948186E0,3.000000000E0
5.225461388E1,6.502696298E1,2.548424599E1,1.000305340E1,1.266779351E0,2.417711895E1,2.083062174E0,3.000000000E0
5.325461948E1,6.502697063E1,2.548427204E1,1.010002919E1,1.249338212E0,3.631673280E1,2.081762494E0,3.000000000E0
5.425462401E1,6.502697288E1,2.548430128E1,1.004370762E1,1.246178903E0,5.091310219E1,2.077674364E0,3.000000000E0
5.525462723E1,6.502697135E1,2.548433653E1,9.967198712E0,1.264628339E0,6.637074432E1,2.087445998E0,3.000000000E0
5.625462961E1,6.502697231E1,2.548436183E1,1.010901529E1,1.005796374E0,6.470867354E1,2.083073703E0,3.000000000E0
5.725463057E1,6.502696747E1,2.548439553E1,1.018488237E1,1.053972125E0,7.731095341E1,2.078920014E0,3.000000000E0
5.825463188E1,6.502696661E1,2.548442139E1,1.009917107E1,1.151547512E0,8.228656867E1,2.074974019E0,3.000000000E0
5.925463021E1,6.502697508E1,2.548442894E1,1.007574337E1,1.316909476E0,8.046128314E1,2.092536359E0,3.000000000E0
6.025462949E1,6.502697554E1,2.548445614E1,1.012798563E1,1.269001135E0,8.237412991E1,2.087909534E0,3.000000000E0
6.125462770E1,6.502697332E1,2.548448278E1,1.021887407E1,1.056566175E0,9.581300503E1,2.093504095E0,3.000000000E0
6.225462461E1,6.502697567E1,2.548451432E1,1.029036688E1,1.185237516E0,8.635884648E1,2.109512074E0,3.000000000E0
6.325462162E1,6.502697843E1,2.548454062E1,1.044520387E1,1.150716674E0,8.104616593E1,2.108943013E0,3.000000000E0
6.425461769E1,6.502697998E1,2.548455992E1,1.038288175E1,9.158174980E-1,8.286205267E1,2.124970086E0,3.000000000E0
6.525461292E1,6.502698290E1,2.548458539E1,1.016837119E1,1.032918601E0,7.558993898E1,2.118721580E0,3.000000000E0
6.625460815E1,6.502698152E1,2.548460839E1,1.024481093E1,9.258437712E-1,8.462952092E1,2.112785504E0,3.000000000E0
6.725460327E1,6.502697871E1,2.548464881E1,1.036567104E1,1.177468800E0,9.471447628E1,2.151990861E0,3.000000000E0
6.825459683E1,6.502697666E1,2.548467869E1,1.067559962E1,1.080053970E0,9.686795557E1,2.201986235E0,3.000000000E0
6.925459075E1,6.502697857E1,2.548469676E1,1.088411809E1,8.208877845E-1,8.807690820E1,2.203992507E0,3.000000000E0
7.025458372E1,6.502697647E1,2.548473483E1,1.084024672E1,1.140641463E0,8.856518699E1,2.260328289E0,3.000000000E0
7.125457704E1,6.502697516E1,2.548477085E1,1.100100543E1,1.317964175E0,9.161255611E1,2.311932309E0,3.000000000E0
7.225456905E1,6.502696966E1,2.548479449E1,1.060025692E1,1.125337279E0,1.035945780E2,2.310255327E0,3.000000000E0
7.325456071E1,6.502696780E1,2.548483109E1,1.077957383E1,1.382226142E0,1.022469121E2,2.302017840E0,3.000000000E0
7.425455248E1,6.502696416E1,2.548486408E1,1.102664521E1,1.471937374E0,1.051232202E2,2.314355951E0,3.000000000E0
7.525454497E1,6.502695969E1,2.548490332E1,1.116848101E1,1.753735123E0,1.060662514E2,2.316975312E0,3.103604458E0
7.625453532E1,6.502695846E1,2.548493622E1,1.162981183E1,1.688308385E0,9.978227799E1,2.307639490E0,3.041701521E0
7.725452673E1,6.502695709E1,2.548496337E1,1.224593752E1,1.603191100E0,9.725546962E1,2.333405721E0,3.163795509E0
7.825451744E1,6.502695713E1,2.548499234E1,1.278404376E1,1.605604753E0,9.317699329E1,2.318703570E0,3.248220756E0
7.925450814E1,6.502695038E1,2.548502672E1,1.247323698E1,1.756607855E0,1.017768037E2,2.341103801E0,3.155960965E0
8.025449765E1,6.502694829E1,2.548505456E1,1.226999769E1,1.690473330E0,1.042908699E2,2.373019651E0,3.091078348E0
8.125448799E1,6.502695589E1,2.548507645E1,1.177722078E1,1.484508016E0,8.715639187E1,2.360886035E0,3.000000000E0
8.225447834E1,6.502697808E1,2.548507765E1,1.109910221E1,1.513303371E0,3.334713182E1,2.372912315E0,3.000000000E0
8.325446773E1,6.502700143E1,2.548504744E1,1.174463269E1,1.851388730E0,3.487862677E2,2.403172986E0,3.097149272E0
8.425445640E1,6.502701979E1,2.548502640E1,1.248042200E1,1.794276685E0,3.352331008E2,2.406832313E0,3.249476939E0
8.525444651E1,6.502703283E1,2.548501920E1,1.278706209E1,1.707493339E0,3.408634698E2,2.418403024E0,3.271349038E0
8.625443554E1,6.502704357E1,2.548500254E1,1.284891666E1,1.591514173E0,3.340238387E2,2.431055167E0,3.394912077E0
8.725442398E1,6.502705558E1,2.548498790E1,1.181033729E1,1.607360826E0,3.331765842E2,2.461217980E0,3.500388107E0
8.825441325E1,6.502707063E1,2.548497533E1,1.223505274E1,1.694686386E0,3.357101976E2,2.454622187E0,3.556505408E0
8.925440216E1,6.502708383E1,2.548496409E1,1.248155903E1,1.732193437E0,3.360312230E2,2.431891072E0,3.577346355E0
9.025439119E1,6.502709676E1,2.548495910E1,1.268676411E1,1.682374992E0,3.419054047E2,2.410296512E0,3.587424544E0
